vs. Model;Deutsch;Russian;Englisch;;;
mitten;der Handschuh, -e;перчатка, ж.;;;;
sock;die Socke, -n;носок, м.;;;;
running shoe;die Sportschuhe, pl.;кроссовки, м., мн.ч.;;;;
sandal;die Sandale, -n;сандали, ж., мн.ч.;;;;
Loafer;flache Schuhe, pl.;лоферы, м., мн.ч.;;;;
cowboy boot;der Stiefel, -;ботинки, м., мн.ч.;;;;
"chickadee
magpie
black groose";"der Vogel, """;птица, ж.;;;;
"hen
rotisserie";das Hähnchen, -;курица, ж.;;;;
drake;die Ente, -n;утка, ж.;;;;
"macaque
chimpanzee, chimp, Pa…";der Affe, -n;обезьяна, ж.;;;;
ox;die Kuh, “-e;корова ж.;;;;
sorrel;das Pferd, -e;лошадь ж.;;;;
ram, tup;das Schaf, -e;баран м.;;;;
"tabby, tabby cat
egyptian cat
persian cat";die Katze, -n;кошка, ж.;;;;
"Pembroke, Pembroke…
Eskimo dog, husky
Airedale, Airedale terrier
beagle
Bernese mountain dog
golden retriever
Samoyed, Samyede
pug, pug-dog
";der Hund, -e;собака, ж.;;;;
x;die Hefe, -n;дрожжи, м., мн. ч.;;;;
x;die Soße, -n;соус, м.;;;;
x;der Pfeffer, -;черный перец, м.;;;;
x;der Honig, -e;мед, с.;;;;
x;das Müsli, -;мюсли, с.;;;;
x;die Schokolade,-n;шоколад, с.;;;;
x;die Pommes, pl.;картофель фри, м.;;;;
x;das Ketchup, -s;кетчуп, м.;;;;
x;der Sekt, -e;шампанское, с.;;;;
x;der Joghurt, -s ;йогурт, м.;;;;
x;die Milch sg. ;молоко, с.;;;;
x;die Butter, -;сливочное масло, с.;;;;
x;der Käse, -;сыр, м.;;;;
x;die Marmelade, -n;варенье, с.;;;;
x;das Ei, -er;яйцо, с.;;;;
x;der Essig, -e;уксус, м.;;;;
x;das Öl, -e;растительное масло, с.;;;;
x;der Reis, pl.;рис, м.;;;;
x;der Zucker sg. ;сахар, м.;;;;
x;die Salami, -s;салями, ж.;;;;
x;"die Wurst, ""-e";колбаса, ж.;;;;
x;das Schnitzel, -;шнитцель, м.;;;;
x;das Steak, -s;стейк, м.;;;;
x;das Brot, -e;хлеб, м.;;;;
x;der Keks, -e;печенье, с.;;;;
x;der Kuchen, -;пирог, м.;;;;
x;die Sahne, sg.;сливки, ж., мн.ч.;;;;
x;der Knoblauch, sg.;чеснок, м.;;;;
x;die Möhre, -n;морковь, ж.;;;;
x;der Kiwi, -s;киви, с.;;;;
x;die Pflaume, -n;слива, ж.;;;;
x;der Champignon,-s;шампиньон, м.;;;;
x;der Pfirsich;персик, м.;;;;
x;die Kartoffel, -n;картофель, м.;;;;
x;die Tomate, -n ;помидор, м.;;;;
x;der Salat, -e ;салат, м.;;;;
x;die Birne, -n;груша, ж.;;;;
x;die Marille, -n;абрикос, м.;;;;
x;die Zwiebel, -n;лук, м.;;;;
x;die Mango, -s;манго, с.;;;;
x;die Aubergine, -n;баклажан, м.;;;;
x;die Bohnen, pl.;стручковая фасоль, ж.;;;;
x;das Radieschen, -;редис, м.;;;;
x;die Weintraube, -n;виноград, м.;;;;
x;die Himbeere, -n;малина, ж.;;;;
x;die Kirsche, -n;вишня, ж.;;;;
x;die Wassermelone,-n;арбуз, м.;;;;
x;"die Honigmelone, -n 
die Zuckermelone, -n";дыня, ж.;;;;
x;die Grapefruit, -s;грейпфрут, м.;;;;
x;die Erbse, -n;горох, м.;;;;
x;die Linse, -n;чечевица, ж.;;;;
x;der Mixer, -;миксер, м.;;;;
x;die Taschenlampe, -n;фонарик, м.;;;;
x;der Schal, -s;шарф, м.;;;;
x;die Bluse, -n;блузка, ж.;;;;
x;"der Knopf, ""-e";пуговица, ж.;;;;
x;der Ringe, -e;кольцо, с.;;;;
x;der Ohrring, -e;серьга, ж.;;;;
x;die Pfeife, -n;трубка, ж.;;;;
x;die Zigarette, -n;сигарета, ж.;;;;
x;der Schlüssel, -;ключ, м.;;;;
x;die Salbe, -n;мазь, ж.;;;;
x;das Geld, pl. ;деньги, ж., мн.ч.;;;;
x;die Münze, -n;монета, ж.;;;;
x;der Taschenrechner, -;калькулятор,м.;;;;
x;der Bleistift, -e;простой карандаш, м.;;;;
x;der Marker, -;маркер, м.;;;;
x;der USB-Stick;флешка, ж.;;;;
x;die CD / die DVD, -s;СD / DVD диск, м.;;;;
x;"der Pass, ""-e 
der Aussweis, -e";паспорт, м.;;;;
x;das Heft, -e;тетрадь, ж.;;;;
x;"das Buch, ""-er";книга, ж.;;;;
x;das Bild, -er;картина, ж.;;;;
x;die Zeitung,-en ;газета, ж.;;;;
x;der Zettel, -;записка, ж.;;;;
x;der Prospekt, -e;проспект, м.;;;;
x;die Mappe, -n;папка, ж.;;;;
x;das Ticket, -s;билет, м.;;;;
x;die Postkarte, -n;открытка, ж.;;;;
x;die Kreditkarte, -n ;кредитная карта, ж.;;;;
x;"der Kasten, """;ящик, м.;;;;
x;die Tafel, -n;доска, ж.;;;;
x;das Bett, -en ;кровать, ж.;;;;
x;der Spiegel, -;зеркало, с.;;;;
x;"der Backofen, """;духовка, ж.;;;;
x;der Deckel, -;крышка, ж.;;;;
x;der Koffer, -;чемодан, м.;;;;
x;die Steckdose, -n;розетка, ж.;;;;
x;das Kabel, -;кабель, м.;;;;
x;"der Wasserhahn, , ""-e";кран, м.;;;;
x;"das Handtuch, ""-er";полотенце, с.;;;;
x;"der Kamm, ""-e";расческа, ж.;;;;
x;die Zahnbürste, -n;зубная сетка, ж.;;;;
x;die Dusche, -n;душ, м.;;;;
x;"der Aufzug, ""-e";лифт, м.;;;;
x;die Rolltreppe,-n;эскалатор, м.;;;;
x;das Fenster, -;окно, с.;;;;
x;der Balkon, -s;балкон, м.;;;;
x;"der Garten, """;сад, м.;;;;
x;"der Baum, ""-e";дерево, с.;;;;
x;der Sand, sg.;песок, м.;;;;
-;"das Haus, ""-er ";дом, м.;;;;
-;der Kiosk, -e;киоск, м.;;;;
-;"das Riesenrad, ""-er";колесо обозрения, с.;;;;
-;der Ski, -s;лыжи, ж., мн.ч.;;;;
-;der MP3-Player, -;MP3 плейер, м.;;;;
-;das Geschenk, -e;подарок, м.;;;;
